2;2;2;0.000463
4;4;2;0.000404
4;4;4;0.000033
8;8;2;0.000027
8;8;4;0.000037
8;8;8;0.000059
16;16;2;0.000464
16;16;4;0.000044
16;16;8;0.040557
16;16;16;0.073780
32;32;2;0.000064
32;32;4;0.000125
32;32;8;0.013032
32;32;16;0.021029
32;32;32;0.084677
64;64;2;0.000078
64;64;4;0.000042
64;64;8;0.056658
64;64;16;0.039755
64;64;32;0.109681
64;64;64;0.149576
128;128;2;0.000198
128;128;4;0.000152
128;128;8;0.042667
128;128;16;0.020617
128;128;32;0.099684
128;128;64;0.149635
128;128;128;0.734562
256;256;2;0.000672
256;256;4;0.026667
256;256;8;0.079698
256;256;16;0.031792
256;256;32;0.093670
256;256;64;0.344543
256;256;128;0.889493
512;512;2;0.003294
512;512;4;0.003686
512;512;8;0.055773
512;512;16;0.110642
512;512;32;0.233650
512;512;64;0.295615
512;512;128;0.679598
