2;2;0.000036
4;2;0.000028
8;2;0.000043
16;2;0.000049
32;2;0.000028
64;2;0.000039
128;2;0.000057
3;2;0.000026
100;2;0.000047
2;4;0.000022
4;4;0.000050
8;4;0.000045
16;4;0.000025
32;4;0.000028
64;4;0.000035
128;4;0.000050
3;4;0.000014
100;4;0.000057
2;8;0.000011
4;8;0.000029
8;8;0.000020
16;8;0.000047
32;8;0.000031
64;8;0.000041
128;8;0.000048
3;8;0.000014
100;8;0.000042
2;16;0.000010
4;16;0.000013
8;16;0.000040
16;16;0.000027
32;16;0.000036
64;16;0.000041
128;16;0.000044
3;16;0.000029
100;16;0.000050
2;32;0.000021
4;32;0.000028
8;32;0.000018
16;32;0.000022
32;32;0.000037
64;32;0.000038
128;32;0.000049
3;32;0.000015
100;32;0.000052
2;64;0.000026
4;64;0.000018
8;64;0.000040
16;64;0.000023
32;64;0.000032
64;64;0.000042
128;64;0.000043
3;64;0.000015
100;64;0.000059
2;128;0.000031
4;128;0.000032
8;128;0.000040
16;128;0.000026
32;128;0.000028
64;128;0.000037
128;128;0.000046
3;128;0.000034
100;128;0.000175
2;256;0.000041
4;256;0.000039
8;256;0.000021
16;256;0.000025
32;256;0.000028
64;256;0.000036
128;256;0.000048
3;256;0.000039
100;256;0.000043
2;512;0.000036
4;512;0.000024
8;512;0.000025
16;512;0.000028
32;512;0.000029
64;512;0.000038
128;512;0.000047
3;512;0.000028
100;512;0.000043
2;1024;0.000093
4;1024;0.000030
8;1024;0.000030
16;1024;0.000032
32;1024;0.000033
64;1024;0.000039
128;1024;0.000058
3;1024;0.000034
100;1024;0.000045
2;2048;0.000178
4;2048;0.000109
8;2048;0.000084
16;2048;0.000031
32;2048;0.000044
64;2048;0.000039
128;2048;0.000054
3;2048;0.000140
100;2048;0.000059
2;3;0.000021
4;3;0.000028
8;3;0.000043
16;3;0.000025
32;3;0.000032
64;3;0.000034
128;3;0.000048
3;3;0.000027
100;3;0.000047
2;557;0.000061
4;557;0.000049
8;557;0.000050
16;557;0.000023
32;557;0.000031
64;557;0.000040
128;557;0.000051
3;557;0.000026
100;557;0.000046
2;1231;0.000111
4;1231;0.000029
8;1231;0.000061
16;1231;0.000027
32;1231;0.000037
64;1231;0.000042
128;1231;0.000051
3;1231;0.000037
100;1231;0.000049
2;1997;0.000060
4;1997;0.000036
8;1997;0.000086
16;1997;0.000029
32;1997;0.000037
64;1997;0.000045
128;1997;0.000062
3;1997;0.000047
100;1997;0.000058
2;100;0.000031
4;100;0.000016
8;100;0.000020
16;100;0.000025
32;100;0.000027
64;100;0.000040
128;100;0.000048
3;100;0.000015
100;100;0.000042
2;200;0.000034
4;200;0.000038
8;200;0.000023
16;200;0.000026
32;200;0.000036
64;200;0.000045
128;200;0.000046
3;200;0.000018
100;200;0.000056
2;300;0.000046
4;300;0.000043
8;300;0.000025
16;300;0.000025
32;300;0.000032
64;300;0.000048
128;300;0.000044
3;300;0.000046
100;300;0.000045
2;400;0.000050
4;400;0.000043
8;400;0.000022
16;400;0.000026
32;400;0.000033
64;400;0.000052
128;400;0.000058
3;400;0.000025
100;400;0.000038
2;500;0.000056
4;500;0.000046
8;500;0.000025
16;500;0.000032
32;500;0.000029
64;500;0.000046
128;500;0.000040
3;500;0.000023
100;500;0.000048
2;600;0.000061
4;600;0.000049
8;600;0.000024
16;600;0.000025
32;600;0.000031
64;600;0.000041
128;600;0.000055
3;600;0.000027
100;600;0.000042
2;700;0.000068
4;700;0.000023
8;700;0.000030
16;700;0.000027
32;700;0.000028
64;700;0.000035
128;700;0.000049
3;700;0.000066
100;700;0.000049
2;800;0.000031
4;800;0.000056
8;800;0.000029
16;800;0.000028
32;800;0.000036
64;800;0.000039
128;800;0.000054
3;800;0.000072
100;800;0.000041
2;1000;0.000089
4;1000;0.000026
8;1000;0.000059
16;1000;0.000026
32;1000;0.000031
64;1000;0.000038
128;1000;0.000046
3;1000;0.000031
100;1000;0.000058
2;2000;0.000060
4;2000;0.000107
8;2000;0.000093
16;2000;0.000031
32;2000;0.000033
64;2000;0.000047
128;2000;0.000050
3;2000;0.000128
100;2000;0.000045
