128;2;0.007823
128;4;0.000186
128;8;0.000268
128;16;0.000535
128;32;0.001013
128;3;0.000125
128;5;0.000165
128;7;0.000234
128;11;0.000390
128;13;0.000486
128;17;0.000651
128;19;0.000716
128;23;0.000708
128;29;0.000804
128;31;0.000844
256;2;0.006370
256;4;0.000123
256;8;0.000248
256;16;0.000438
256;32;0.000923
256;3;0.000106
256;5;0.000139
256;7;0.000212
256;11;0.000301
256;13;0.000365
256;17;0.000455
256;19;0.000533
256;23;0.000631
256;29;0.001067
256;31;0.000877
101;2;0.009062
101;4;0.000118
101;8;0.000249
101;16;0.000399
101;32;0.000777
101;3;0.000087
101;5;0.000152
101;7;0.000217
101;11;0.000317
101;13;0.000390
101;17;0.000489
101;19;0.000498
101;23;0.001115
101;29;0.000735
101;31;0.000794
103;2;0.000063
103;4;0.000143
103;8;0.000255
103;16;0.000501
103;32;0.001133
103;3;0.000105
103;5;0.000167
103;7;0.000221
103;11;0.000316
103;13;0.000331
103;17;0.000464
103;19;0.000645
103;23;0.000706
103;29;0.000744
103;31;0.001006
107;2;0.011157
107;4;0.000123
107;8;0.000401
107;16;0.000458
107;32;0.001527
107;3;0.000110
107;5;0.000182
107;7;0.000214
107;11;0.000337
107;13;0.000510
107;17;0.000559
107;19;0.000531
107;23;0.000634
107;29;0.000804
107;31;0.000832
109;2;0.000069
109;4;0.000145
109;8;0.000256
109;16;0.000428
109;32;0.000836
109;3;0.000109
109;5;0.000213
109;7;0.000233
109;11;0.000330
109;13;0.000438
109;17;0.000444
109;19;0.000527
109;23;0.000598
109;29;0.000795
109;31;0.000948
113;2;0.000073
113;4;0.000138
113;8;0.000264
113;16;0.000531
113;32;0.001074
113;3;0.000122
113;5;0.000176
113;7;0.000199
113;11;0.000371
113;13;0.000521
113;17;0.001279
113;19;0.000608
113;23;0.000774
113;29;0.001244
113;31;0.001199
127;2;0.015728
127;4;0.000343
127;8;0.000227
127;16;0.000459
127;32;0.000904
127;3;0.000101
127;5;0.000160
127;7;0.000199
127;11;0.000295
127;13;0.000377
127;17;0.000600
127;19;0.000477
127;23;0.000603
127;29;0.001117
127;31;0.000904
131;2;0.000068
131;4;0.000140
131;8;0.000245
131;16;0.000504
131;32;0.000910
131;3;0.000088
131;5;0.000163
131;7;0.000220
131;11;0.000287
131;13;0.000321
131;17;0.000555
131;19;0.000623
131;23;0.000743
131;29;0.000938
131;31;0.000814
137;2;0.000067
137;4;0.000156
137;8;0.000233
137;16;0.000479
137;32;0.000954
137;3;0.000108
137;5;0.000179
137;7;0.000238
137;11;0.000347
137;13;0.000379
137;17;0.000488
137;19;0.000503
137;23;0.000608
137;29;0.000830
137;31;0.000819
139;2;0.000053
139;4;0.000144
139;8;0.000240
139;16;0.000517
139;32;0.001033
139;3;0.000153
139;5;0.000173
139;7;0.000259
139;11;0.000299
139;13;0.000351
139;17;0.000462
139;19;0.000510
139;23;0.000746
139;29;0.000810
139;31;0.000930
149;2;0.016497
149;4;0.000152
149;8;0.000346
149;16;0.000435
149;32;0.001293
149;3;0.000129
149;5;0.000213
149;7;0.000273
149;11;0.000293
149;13;0.000383
149;17;0.000551
149;19;0.000493
149;23;0.000593
149;29;0.000833
149;31;0.000962
151;2;0.000057
151;4;0.000128
151;8;0.000230
151;16;0.000523
151;32;0.000925
151;3;0.000095
151;5;0.000146
151;7;0.000194
151;11;0.000334
151;13;0.000414
151;17;0.000440
151;19;0.000690
151;23;0.004982
151;29;0.001058
151;31;0.000996
157;2;0.000173
157;4;0.000119
157;8;0.000238
157;16;0.000439
157;32;0.000925
157;3;0.000114
157;5;0.000156
157;7;0.000222
157;11;0.000360
157;13;0.000448
157;17;0.000535
157;19;0.000533
157;23;0.000985
157;29;0.000800
157;31;0.000816
163;2;0.000067
163;4;0.000225
163;8;0.000237
163;16;0.000861
163;32;0.001071
163;3;0.000121
163;5;0.000155
163;7;0.000204
163;11;0.000314
163;13;0.000369
163;17;0.000423
163;19;0.000518
163;23;0.000605
163;29;0.001495
163;31;0.001149
167;2;0.000083
167;4;0.000167
167;8;0.000315
167;16;0.000592
167;32;0.002181
167;3;0.000105
167;5;0.000304
167;7;0.000223
167;11;0.000296
167;13;0.000400
167;17;0.000719
167;19;0.000611
167;23;0.000745
167;29;0.000913
167;31;0.000950
173;2;0.000068
173;4;0.000155
173;8;0.000245
173;16;0.000459
173;32;0.000799
173;3;0.000142
173;5;0.000135
173;7;0.000185
173;11;0.000346
173;13;0.000426
173;17;0.000537
173;19;0.000531
173;23;0.000623
173;29;0.000774
173;31;0.000810
179;2;0.000071
179;4;0.000252
179;8;0.000274
179;16;0.000448
179;32;0.001042
179;3;0.000111
179;5;0.000177
179;7;0.000221
179;11;0.000333
179;13;0.000355
179;17;0.000472
179;19;0.000517
179;23;0.000620
179;29;0.000744
179;31;0.000791
181;2;0.001885
181;4;0.000135
181;8;0.000228
181;16;0.000409
181;32;0.000839
181;3;0.000101
181;5;0.000154
181;7;0.000220
